date,label,cash,gross_exposure,equity,cash_weight
2022-10-20,equal_weight,0.0,101315.940490561,101315.940490561,0.0
2022-10-21,equal_weight,0.0,102991.82192611338,102991.82192611338,0.0
2022-10-24,equal_weight,0.0,102983.92621876462,102983.92621876462,0.0
2022-10-25,equal_weight,0.0,107629.06687573822,107629.06687573822,0.0
2022-10-26,equal_weight,0.0,107812.18085338248,107812.18085338248,0.0
2022-10-27,equal_weight,0.0,104029.36045908736,104029.36045908736,0.0
2022-10-28,equal_weight,0.0,107455.29517290564,107455.29517290564,0.0
2022-10-31,equal_weight,0.0,107773.65775869414,107773.65775869414,0.0
2022-11-01,equal_weight,0.0,105620.4857518642,105620.4857518642,0.0
2022-11-02,equal_weight,0.0,102252.96663549551,102252.96663549551,0.0
2022-11-03,equal_weight,0.0,100932.32853141433,100932.32853141433,0.0
2022-11-04,equal_weight,0.0,102325.02524710876,102325.02524710876,0.0
2022-11-07,equal_weight,0.0,102883.15886413834,102883.15886413834,0.0
2022-11-08,equal_weight,0.0,103281.32713210146,103281.32713210146,0.0
2022-11-09,equal_weight,0.0,98042.52945639247,98042.52945639247,0.0
2022-11-10,equal_weight,0.0,108363.83231883543,108363.83231883543,0.0
2022-11-11,equal_weight,0.0,113465.39054436116,113465.39054436116,0.0
2022-11-14,equal_weight,0.0,116425.28534440402,116425.28534440402,0.0
2022-11-15,equal_weight,0.0,116280.85038712953,116280.85038712953,0.0
2022-11-16,equal_weight,0.0,110918.84180020588,110918.84180020588,0.0
2022-11-17,equal_weight,0.0,107526.45953252804,107526.45953252804,0.0
2022-11-18,equal_weight,0.0,106977.8982115877,106977.8982115877,0.0
2022-11-21,equal_weight,0.0,105279.29528994311,105279.29528994311,0.0
2022-11-22,equal_weight,0.0,106416.89644814696,106416.89644814696,0.0
2022-11-23,equal_weight,0.0,108350.05227629683,108350.05227629683,0.0
2022-11-25,equal_weight,0.0,106721.58361595025,106721.58361595025,0.0
2022-11-28,equal_weight,0.0,104302.45405501539,104302.45405501539,0.0
2022-11-29,equal_weight,0.0,103848.59093864977,103848.59093864977,0.0
2022-11-30,equal_weight,0.0,110734.41407955656,110734.41407955656,0.0
2022-12-01,equal_weight,0.0,108998.95359603528,108998.95359603528,0.0
2022-12-02,equal_weight,0.0,107887.97187723512,107887.97187723512,0.0
2022-12-05,equal_weight,0.0,105233.29519036712,105233.29519036712,0.0
2022-12-06,equal_weight,0.0,101580.87163365976,101580.87163365976,0.0
2022-12-07,equal_weight,0.0,100955.4897004179,100955.4897004179,0.0
2022-12-08,equal_weight,0.0,103605.49696138818,103605.49696138818,0.0
2022-12-09,equal_weight,0.0,102708.38737320175,102708.38737320175,0.0
2022-12-12,equal_weight,0.0,101992.78351968538,101992.78351968538,0.0
2022-12-13,equal_weight,0.0,101592.31899372676,101592.31899372676,0.0
2022-12-14,equal_weight,0.0,100075.9822731049,100075.9822731049,0.0
2022-12-15,equal_weight,0.0,96064.70928339752,96064.70928339752,0.0
2022-12-16,equal_weight,0.0,94155.14027206345,94155.14027206345,0.0
2022-12-19,equal_weight,0.0,90974.29890337602,90974.29890337602,0.0
2022-12-20,equal_weight,0.0,90986.99950060279,90986.99950060279,0.0
2022-12-21,equal_weight,0.0,92862.81910063415,92862.81910063415,0.0
2022-12-22,equal_weight,0.0,89439.97841019034,89439.97841019034,0.0
2022-12-23,equal_weight,0.0,88708.48633677186,88708.48633677186,0.0
2022-12-27,equal_weight,0.0,85461.32398637444,85461.32398637444,0.0
2022-12-28,equal_weight,0.0,85170.19480720231,85170.19480720231,0.0
2022-12-29,equal_weight,0.0,89929.61579130862,89929.61579130862,0.0
2022-12-30,equal_weight,0.0,89679.43684808593,89679.43684808593,0.0
2023-01-03,equal_weight,0.0,90089.46046216004,90089.46046216004,0.0
2023-01-04,equal_weight,0.0,92599.78581328751,92599.78581328751,0.0
2023-01-05,equal_weight,0.0,91034.82903973805,91034.82903973805,0.0
2023-01-06,equal_weight,0.0,94201.61477199208,94201.61477199208,0.0
2023-01-09,equal_weight,0.0,96053.03277203055,96053.03277203055,0.0
2023-01-10,equal_weight,0.0,96535.90549161805,96535.90549161805,0.0
2023-01-11,equal_weight,0.0,98311.53947109825,98311.53947109825,0.0
2023-01-12,equal_weight,0.0,101707.61884386616,101707.61884386616,0.0
2023-01-13,equal_weight,0.0,104770.15659106431,104770.15659106431,0.0
2023-01-17,equal_weight,0.0,104518.97062443697,104518.97062443697,0.0
2023-01-18,equal_weight,0.0,101786.78883982533,101786.78883982533,0.0
2023-01-19,equal_weight,0.0,99415.31283344804,99415.31283344804,0.0
2023-01-20,equal_weight,0.0,103299.47117659604,103299.47117659604,0.0
2023-01-23,equal_weight,0.0,107147.73513452418,107147.73513452418,0.0
2023-01-24,equal_weight,0.0,107220.40370127861,107220.40370127861,0.0
2023-01-25,equal_weight,0.0,108328.28262224054,108328.28262224054,0.0
2023-01-26,equal_weight,0.0,109548.26047452047,109548.26047452047,0.0
2023-01-27,equal_weight,0.0,110495.33774488687,110495.33774488687,0.0
2023-01-30,equal_weight,0.0,108055.48596239417,108055.48596239417,0.0
2023-01-31,equal_weight,0.0,108898.55960446136,108898.55960446136,0.0
2023-02-01,equal_weight,0.0,115016.32063106183,115016.32063106183,0.0
2023-02-02,equal_weight,0.0,122421.64530477952,122421.64530477952,0.0
2023-02-03,equal_weight,0.0,121453.31827174043,121453.31827174043,0.0
2023-02-06,equal_weight,0.0,119675.53383921825,119675.53383921825,0.0
2023-02-07,equal_weight,0.0,119459.92006759891,119459.92006759891,0.0
2023-02-08,equal_weight,0.0,117052.14517700324,117052.14517700324,0.0
2023-02-09,equal_weight,0.0,113374.16938499389,113374.16938499389,0.0
2023-02-10,equal_weight,0.0,113773.21164869542,113773.21164869542,0.0
2023-02-13,equal_weight,0.0,114977.39985281765,114977.39985281765,0.0
2023-02-14,equal_weight,0.0,117581.2826402,117581.2826402,0.0
2023-02-15,equal_weight,0.0,122819.63877051152,122819.63877051152,0.0
2023-02-16,equal_weight,0.0,119637.59617139096,119637.59617139096,0.0
2023-02-17,equal_weight,0.0,116652.08156026473,116652.08156026473,0.0
2023-02-21,equal_weight,0.0,110326.62299107543,110326.62299107543,0.0
2023-02-22,equal_weight,0.0,112759.24334841121,112759.24334841121,0.0
2023-02-23,equal_weight,0.0,115179.02985927105,115179.02985927105,0.0
2023-02-24,equal_weight,0.0,115045.5573229393,115045.5573229393,0.0
2023-02-27,equal_weight,0.0,117363.6999735469,117363.6999735469,0.0
2023-02-28,equal_weight,0.0,118075.11377172351,118075.11377172351,0.0
2023-03-01,equal_weight,0.0,114950.16189764836,114950.16189764836,0.0
2023-03-02,equal_weight,0.0,116147.34643147903,116147.34643147903,0.0
2023-03-03,equal_weight,0.0,120080.51457076008,120080.51457076008,0.0
2023-03-06,equal_weight,0.0,119462.8514739897,119462.8514739897,0.0
2023-03-07,equal_weight,0.0,118765.3497342901,118765.3497342901,0.0
2023-03-08,equal_weight,0.0,121760.99410146862,121760.99410146862,0.0
2023-03-09,equal_weight,0.0,117283.06338834047,117283.06338834047,0.0
2023-03-10,equal_weight,0.0,114024.91811406444,114024.91811406444,0.0
2023-03-13,equal_weight,0.0,116134.06506448892,116134.06506448892,0.0
2023-03-14,equal_weight,0.0,118272.63757686132,118272.63757686132,0.0
2023-03-15,equal_weight,0.0,115973.08142565205,115973.08142565205,0.0
2023-03-16,equal_weight,0.0,120423.6703832873,120423.6703832873,0.0
2023-03-17,equal_weight,0.0,118197.5767994049,118197.5767994049,0.0
2023-03-20,equal_weight,0.0,118142.9173004264,118142.9173004264,0.0
2023-03-21,equal_weight,0.0,123639.70506592182,123639.70506592182,0.0
2023-03-22,equal_weight,0.0,120045.40380540858,120045.40380540858,0.0
2023-03-23,equal_weight,0.0,121918.00598471407,121918.00598471407,0.0
2023-03-24,equal_weight,0.0,120650.17881400089,120650.17881400089,0.0
2023-03-27,equal_weight,0.0,123722.70441017693,123722.70441017693,0.0
2023-03-28,equal_weight,0.0,118988.5470804422,118988.5470804422,0.0
2023-03-29,equal_weight,0.0,124677.1336476749,124677.1336476749,0.0
2023-03-30,equal_weight,0.0,125106.95133471614,125106.95133471614,0.0
2023-03-31,equal_weight,0.0,134184.72758885648,134184.72758885648,0.0
2023-04-03,equal_weight,0.0,133870.2793265509,133870.2793265509,0.0
2023-04-04,equal_weight,0.0,139169.02567904192,139169.02567904192,0.0
2023-04-05,equal_weight,0.0,134489.95946822717,134489.95946822717,0.0
2023-04-06,equal_weight,0.0,135469.42015396451,135469.42015396451,0.0
2023-04-10,equal_weight,0.0,136622.54857913635,136622.54857913635,0.0
2023-04-11,equal_weight,0.0,135554.15285327894,135554.15285327894,0.0
2023-04-12,equal_weight,0.0,133274.46261431626,133274.46261431626,0.0
2023-04-13,equal_weight,0.0,135797.5200755058,135797.5200755058,0.0
2023-04-14,equal_weight,0.0,135251.7170744948,135251.7170744948,0.0
2023-04-17,equal_weight,0.0,134747.77554029625,134747.77554029625,0.0
2023-04-18,equal_weight,0.0,134821.0065574026,134821.0065574026,0.0
2023-04-19,equal_weight,0.0,133443.69881762902,133443.69881762902,0.0
2023-04-20,equal_weight,0.0,131845.69221826197,131845.69221826197,0.0
2023-04-21,equal_weight,0.0,133212.5726431041,133212.5726431041,0.0
2023-04-24,equal_weight,0.0,128909.53928500175,128909.53928500175,0.0
2023-04-25,equal_weight,0.0,122069.29394696621,122069.29394696621,0.0
2023-04-26,equal_weight,0.0,120772.81635150258,120772.81635150258,0.0
2023-04-27,equal_weight,0.0,122080.91372732523,122080.91372732523,0.0
2023-04-28,equal_weight,0.0,122544.38617587081,122544.38617587081,0.0
2023-05-01,equal_weight,0.0,122597.5628216272,122597.5628216272,0.0
2023-05-02,equal_weight,0.0,121339.99508484012,121339.99508484012,0.0
2023-05-03,equal_weight,0.0,122795.5406667614,122795.5406667614,0.0
2023-05-04,equal_weight,0.0,123291.24451255977,123291.24451255977,0.0
2023-05-05,equal_weight,0.0,128820.66638855569,128820.66638855569,0.0
2023-05-08,equal_weight,0.0,132451.55205990194,132451.55205990194,0.0
2023-05-09,equal_weight,0.0,132920.39236122434,132920.39236122434,0.0
2023-05-10,equal_weight,0.0,136688.97889329257,136688.97889329257,0.0
2023-05-11,equal_weight,0.0,136030.673172672,136030.673172672,0.0
