date,label,cash,gross_exposure,equity,cash_weight
2022-10-20,SPY_buyhold,0.0,99288.10283784538,99288.10283784538,0.0
2022-10-21,SPY_buyhold,0.0,101700.94728818096,101700.94728818096,0.0
2022-10-24,SPY_buyhold,0.0,102945.40411555585,102945.40411555585,0.0
2022-10-25,SPY_buyhold,0.0,104589.3152579766,104589.3152579766,0.0
2022-10-26,SPY_buyhold,0.0,103801.31698654944,103801.31698654944,0.0
2022-10-27,SPY_buyhold,0.0,103247.02050421343,103247.02050421343,0.0
2022-10-28,SPY_buyhold,0.0,105703.34173724965,105703.34173724965,0.0
2022-10-31,SPY_buyhold,0.0,104939.8072803658,104939.8072803658,0.0
2022-11-01,SPY_buyhold,0.0,104480.61896827881,104480.61896827881,0.0
2022-11-02,SPY_buyhold,0.0,101858.5538751804,101858.5538751804,0.0
2022-11-03,SPY_buyhold,0.0,100809.73823701205,100809.73823701205,0.0
2022-11-04,SPY_buyhold,0.0,102260.7032827955,102260.7032827955,0.0
2022-11-07,SPY_buyhold,0.0,103238.87456525817,103238.87456525817,0.0
2022-11-08,SPY_buyhold,0.0,103795.87480605593,103795.87480605593,0.0
2022-11-09,SPY_buyhold,0.0,101657.47917137285,101657.47917137285,0.0
2022-11-10,SPY_buyhold,0.0,107243.96410689609,107243.96410689609,0.0
2022-11-11,SPY_buyhold,0.0,108281.95604532494,108281.95604532494,0.0
2022-11-14,SPY_buyhold,0.0,107360.81500144168,107360.81500144168,0.0
2022-11-15,SPY_buyhold,0.0,108276.51386483143,108276.51386483143,0.0
2022-11-16,SPY_buyhold,0.0,107450.47232530465,107450.47232530465,0.0
2022-11-17,SPY_buyhold,0.0,107121.70569542702,107121.70569542702,0.0
2022-11-18,SPY_buyhold,0.0,107608.0875781966,107608.0875781966,0.0
2022-11-21,SPY_buyhold,0.0,107216.80519978353,107216.80519978353,0.0
2022-11-22,SPY_buyhold,0.0,108659.63297250422,108659.63297250422,0.0
2022-11-23,SPY_buyhold,0.0,109344.35113704958,109344.35113704958,0.0
2022-11-25,SPY_buyhold,0.0,109319.89598839877,109319.89598839877,0.0
2022-11-28,SPY_buyhold,0.0,107575.47782469801,107575.47782469801,0.0
2022-11-29,SPY_buyhold,0.0,107390.7036646935,107390.7036646935,0.0
2022-11-30,SPY_buyhold,0.0,110773.58212442898,110773.58212442898,0.0
2022-12-01,SPY_buyhold,0.0,110692.05340773625,110692.05340773625,0.0
2022-12-02,SPY_buyhold,0.0,110564.37014755867,110564.37014755867,0.0
2022-12-05,SPY_buyhold,0.0,108575.40049734974,108575.40049734974,0.0
2022-12-06,SPY_buyhold,0.0,107010.30564726747,107010.30564726747,0.0
2022-12-07,SPY_buyhold,0.0,106828.25257750972,106828.25257750972,0.0
2022-12-08,SPY_buyhold,0.0,107665.13514856099,107665.13514856099,0.0
2022-12-09,SPY_buyhold,0.0,106860.8623310083,106860.8623310083,0.0
2022-12-12,SPY_buyhold,0.0,108401.50203243976,108401.50203243976,0.0
2022-12-13,SPY_buyhold,0.0,109222.084059688,109222.084059688,0.0
2022-12-14,SPY_buyhold,0.0,108523.75177801633,108523.75177801633,0.0
2022-12-15,SPY_buyhold,0.0,105869.09426320434,105869.09426320434,0.0
2022-12-16,SPY_buyhold,0.0,104619.17792355092,104619.17792355092,0.0
2022-12-19,SPY_buyhold,0.0,103732.03317596714,103732.03317596714,0.0
2022-12-20,SPY_buyhold,0.0,103873.99782699396,103873.99782699396,0.0
2022-12-21,SPY_buyhold,0.0,105427.16840898852,105427.16840898852,0.0
2022-12-22,SPY_buyhold,0.0,103923.13343750073,103923.13343750073,0.0
2022-12-23,SPY_buyhold,0.0,104520.92403432238,104520.92403432238,0.0
2022-12-27,SPY_buyhold,0.0,104108.74818907828,104108.74818907828,0.0
2022-12-28,SPY_buyhold,0.0,102814.90444031396,102814.90444031396,0.0
2022-12-29,SPY_buyhold,0.0,104665.59244381095,104665.59244381095,0.0
2022-12-30,SPY_buyhold,0.0,104389.89573963762,104389.89573963762,0.0
2023-01-03,SPY_buyhold,0.0,103950.42233300088,103950.42233300088,0.0
2023-01-04,SPY_buyhold,0.0,104752.93597437494,104752.93597437494,0.0
2023-01-05,SPY_buyhold,0.0,103557.35478073165,103557.35478073165,0.0
2023-01-06,SPY_buyhold,0.0,105932.14729707513,105932.14729707513,0.0
2023-01-09,SPY_buyhold,0.0,105872.09266201129,105872.09266201129,0.0
2023-01-10,SPY_buyhold,0.0,106614.56033421401,106614.56033421401,0.0
2023-01-11,SPY_buyhold,0.0,107962.99920576366,107962.99920576366,0.0
2023-01-12,SPY_buyhold,0.0,108356.08408981789,108356.08408981789,0.0
2023-01-13,SPY_buyhold,0.0,108776.44920347977,108776.44920347977,0.0
2023-01-17,SPY_buyhold,0.0,108577.16833942088,108577.16833942088,0.0
2023-01-18,SPY_buyhold,0.0,106862.95081110216,106862.95081110216,0.0
2023-01-19,SPY_buyhold,0.0,106085.0223067665,106085.0223067665,0.0
2023-01-20,SPY_buyhold,0.0,108061.2617608847,108061.2617608847,0.0
2023-01-23,SPY_buyhold,0.0,109357.8439316808,109357.8439316808,0.0
2023-01-24,SPY_buyhold,0.0,109240.4730835849,109240.4730835849,0.0
2023-01-25,SPY_buyhold,0.0,109281.4367574589,109281.4367574589,0.0
2023-01-26,SPY_buyhold,0.0,110482.4601315957,110482.4601315957,0.0
2023-01-27,SPY_buyhold,0.0,110736.31878665488,110736.31878665488,0.0
2023-01-30,SPY_buyhold,0.0,109346.93357301626,109346.93357301626,0.0
2023-01-31,SPY_buyhold,0.0,110954.69927779613,110954.69927779613,0.0
2023-02-01,SPY_buyhold,0.0,112133.91060049633,112133.91060049633,0.0
2023-02-02,SPY_buyhold,0.0,113766.23544463709,113766.23544463709,0.0
2023-02-03,SPY_buyhold,0.0,112557.01413618999,112557.01413618999,0.0
2023-02-06,SPY_buyhold,0.0,111869.12425498756,111869.12425498756,0.0
2023-02-07,SPY_buyhold,0.0,113332.23021617137,113332.23021617137,0.0
2023-02-08,SPY_buyhold,0.0,112092.95559251483,112092.95559251483,0.0
2023-02-09,SPY_buyhold,0.0,111121.20573639883,111121.20573639883,0.0
2023-02-10,SPY_buyhold,0.0,111380.53256962905,111380.53256962905,0.0
2023-02-13,SPY_buyhold,0.0,112688.03376498222,112688.03376498222,0.0
2023-02-14,SPY_buyhold,0.0,112636.15973244367,112636.15973244367,0.0
2023-02-15,SPY_buyhold,0.0,113001.93838921275,113001.93838921275,0.0
2023-02-16,SPY_buyhold,0.0,111446.03805107893,111446.03805107893,0.0
2023-02-17,SPY_buyhold,0.0,111167.62025665885,111167.62025665885,0.0
2023-02-21,SPY_buyhold,0.0,108937.48748391143,108937.48748391143,0.0
2023-02-22,SPY_buyhold,0.0,108787.35956214434,108787.35956214434,0.0
2023-02-23,SPY_buyhold,0.0,109366.04186599111,109366.04186599111,0.0
2023-02-24,SPY_buyhold,0.0,108197.75823374049,108197.75823374049,0.0
2023-02-27,SPY_buyhold,0.0,108566.26664664883,108566.26664664883,0.0
2023-02-28,SPY_buyhold,0.0,108164.9924941768,108164.9924941768,0.0
2023-03-01,SPY_buyhold,0.0,107750.09555868595,107750.09555868595,0.0
2023-03-02,SPY_buyhold,0.0,108588.09602987046,108588.09602987046,0.0
2023-03-03,SPY_buyhold,0.0,110329.60245368932,110329.60245368932,0.0
2023-03-06,SPY_buyhold,0.0,110406.04429148127,110406.04429148127,0.0
2023-03-07,SPY_buyhold,0.0,108713.64748049165,108713.64748049165,0.0
2023-03-08,SPY_buyhold,0.0,108891.09896132893,108891.09896132893,0.0
2023-03-09,SPY_buyhold,0.0,106882.07643586202,106882.07643586202,0.0
2023-03-10,SPY_buyhold,0.0,105339.81621253202,105339.81621253202,0.0
2023-03-13,SPY_buyhold,0.0,105189.68829076493,105189.68829076493,0.0
2023-03-14,SPY_buyhold,0.0,106928.46495844453,106928.46495844453,0.0
2023-03-15,SPY_buyhold,0.0,106259.7093678945,106259.7093678945,0.0
2023-03-16,SPY_buyhold,0.0,108124.04615208782,108124.04615208782,0.0
2023-03-17,SPY_buyhold,0.0,106859.77909444511,106859.77909444511,0.0
2023-03-20,SPY_buyhold,0.0,107887.32863240471,107887.32863240471,0.0
2023-03-21,SPY_buyhold,0.0,109303.92474851094,109303.92474851094,0.0
2023-03-22,SPY_buyhold,0.0,107440.68853266582,107440.68853266582,0.0
2023-03-23,SPY_buyhold,0.0,107731.12591999117,107731.12591999117,0.0
2023-03-24,SPY_buyhold,0.0,108438.08076470593,108438.08076470593,0.0
2023-03-27,SPY_buyhold,0.0,108640.82798576706,108640.82798576706,0.0
2023-03-28,SPY_buyhold,0.0,108396.97843655184,108396.97843655184,0.0
2023-03-29,SPY_buyhold,0.0,109972.50702121087,109972.50702121087,0.0
2023-03-30,SPY_buyhold,0.0,110616.42616383985,110616.42616383985,0.0
2023-03-31,SPY_buyhold,0.0,112175.51555041573,112175.51555041573,0.0
2023-04-03,SPY_buyhold,0.0,112602.98669593221,112602.98669593221,0.0
2023-04-04,SPY_buyhold,0.0,111978.24517341814,111978.24517341814,0.0
2023-04-05,SPY_buyhold,0.0,111685.034700491,111685.034700491,0.0
2023-04-06,SPY_buyhold,0.0,112120.72977799531,112120.72977799531,0.0
2023-04-10,SPY_buyhold,0.0,112235.78683279222,112235.78683279222,0.0
2023-04-11,SPY_buyhold,0.0,112265.94413871173,112265.94413871173,0.0
2023-04-12,SPY_buyhold,0.0,111808.35035084577,111808.35035084577,0.0
2023-04-13,SPY_buyhold,0.0,113293.46767899381,113293.46767899381,0.0
2023-04-14,SPY_buyhold,0.0,113016.72240182731,113016.72240182731,0.0
2023-04-17,SPY_buyhold,0.0,113422.2515075196,113422.2515075196,0.0
2023-04-18,SPY_buyhold,0.0,113496.24089773245,113496.24089773245,0.0
2023-04-19,SPY_buyhold,0.0,113477.05461172505,113477.05461172505,0.0
2023-04-20,SPY_buyhold,0.0,112857.80726505953,112857.80726505953,0.0
2023-04-21,SPY_buyhold,0.0,112945.47143364623,112945.47143364623,0.0
2023-04-24,SPY_buyhold,0.0,113063.29290815243,113063.29290815243,0.0
2023-04-25,SPY_buyhold,0.0,111268.54324077912,111268.54324077912,0.0
2023-04-26,SPY_buyhold,0.0,110797.27467453931,110797.27467453931,0.0
2023-04-27,SPY_buyhold,0.0,113003.01295988345,113003.01295988345,0.0
