date,n_candidates_before_filters,n_candidates_after_filters,n_selected,sum_w,selected_assets,selected_avg_p_up,selected_avg_upside,fallback_used
2022-10-20,2,0,1,1.0,SPY,,,1
2022-11-03,2,1,1,1.0,QQQ,0.6767272727272727,0.009541995672944115,0
2022-11-17,2,1,1,1.0,QQQ,0.6489090909090909,0.011984563053440755,0
2022-12-02,2,1,1,1.0,QQQ,0.4747272727272727,0.021691930479187604,0
2022-12-16,2,0,1,1.0,SPY,,,1
2023-01-03,2,1,1,1.0,SPY,0.7261818181818182,0.0027204654080250634,0
2023-01-18,2,0,1,1.0,SPY,,,1
2023-02-01,2,0,1,1.0,SPY,,,1
2023-02-15,2,0,1,1.0,SPY,,,1
2023-03-02,2,0,1,1.0,SPY,,,1
2023-03-16,2,1,1,1.0,SPY,0.6087272727272727,0.012375924741463429,0
2023-03-30,2,1,1,1.0,SPY,0.4949090909090909,0.01670908388460801,0
2023-04-14,2,0,1,1.0,SPY,,,1
2023-04-28,2,0,1,1.0,SPY,,,1
2023-05-12,2,0,1,1.0,SPY,,,1
2023-05-26,2,1,1,1.0,QQQ,0.6265454545454545,0.008034736552366528,0
2023-06-12,2,0,1,1.0,SPY,,,1
2023-06-27,2,2,2,1.0,QQQ|SPY,0.6611818181818181,0.011272742330839303,0
2023-07-12,2,0,1,1.0,SPY,,,1
2023-07-26,2,0,1,1.0,SPY,,,1
2023-08-09,2,1,1,1.0,SPY,0.5525454545454546,0.014328722048520648,0
2023-08-23,2,2,2,1.0,QQQ|SPY,0.7196363636363636,0.004965421301575068,0
2023-09-07,2,0,1,1.0,SPY,,,1
2023-09-21,2,0,1,1.0,SPY,,,1
2023-10-05,2,2,2,1.0,SPY|QQQ,0.5720909090909091,0.012436990183755547,0
2023-10-19,2,2,2,1.0,SPY|QQQ,0.7076363636363636,0.006596058055246323,0
2023-11-02,2,0,1,1.0,SPY,,,1
2023-11-16,2,0,1,1.0,SPY,,,1
2023-12-01,2,1,1,1.0,QQQ,0.7623636363636364,0.0008384054677603725,0
2023-12-15,2,1,1,1.0,QQQ,0.7010909090909091,0.0003386529596915988,0
2024-01-02,2,0,1,1.0,SPY,,,1
2024-01-17,3,1,1,1.0,SPY,0.7376363636363636,0.000858380431518535,0
2024-01-31,3,1,1,1.0,SPY,0.6425454545454545,0.00717927146997388,0
2024-02-14,3,1,1,1.0,IONQ,0.8030909090909091,0.005335030736951962,0
2024-02-29,3,1,1,1.0,QQQ,0.7763636363636364,0.00010590984183123098,0
2024-03-14,3,1,1,1.0,IONQ,0.777090909090909,0.008127958396839441,0
2024-03-28,3,2,2,1.0,IONQ|SPY,0.6820909090909091,0.010358381131962746,0
2024-04-12,3,1,1,1.0,SPY,0.6712727272727272,0.0050234783673330785,0
2024-04-26,3,2,2,0.9999999999999999,SPY|IONQ,0.6619999999999999,0.006903155321901666,0
2024-05-10,3,1,1,1.0,SPY,0.8089090909090909,0.0011380315051572332,0
2024-05-24,3,2,2,0.9999999999999999,IONQ|SPY,0.6504545454545454,0.02387044738809352,0
2024-06-10,3,2,2,1.0,QQQ|SPY,0.5545454545454546,0.01219218270124256,0
